variant,physical_lut,primitive_cells,direct_modules,endpoint_modules,classification
LUT218,SLICE_X0Y79/ALUT,board_demo_comp_LUT1_35,,板级顶层控制,板级顶层控制
LUT218,SLICE_X0Y84/ALUT,board_demo_comp_LUT5_9,,按键与模式控制,按键与模式控制
LUT218,SLICE_X0Y84/BLUT,board_demo_comp_LUT4_3,,按键与模式控制,按键与模式控制
LUT218,SLICE_X10Y76/BLUT,board_demo_comp_LUT5_18,,板级顶层控制;测试音频ROM;音频公共封装/DAC,外围跨模块共享逻辑
LUT218,SLICE_X10Y77/ALUT,board_demo_comp_LUT4_10,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y77/BLUT,board_demo_comp_LUT4_11,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y77/CLUT,board_demo_comp_LUT4_12,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y77/DLUT,board_demo_comp_LUT4_9,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y78/ALUT,board_demo_comp_LUT4_14,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y78/BLUT,board_demo_comp_LUT4_5,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y78/CLUT,board_demo_comp_LUT4_7,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y78/DLUT,board_demo_comp_LUT4_8,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y79/ALUT,board_demo_comp_LUT4_13,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y79/BLUT,board_demo_comp_LUT4_15,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y79/CLUT,board_demo_comp_LUT4_16,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y79/DLUT,board_demo_comp_LUT4_6,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y80/ALUT,board_demo_comp_LUT4_17,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y80/BLUT,board_demo_comp_LUT4_18,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y80/CLUT,board_demo_comp_LUT4_19,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y80/DLUT,board_demo_comp_LUT4_20,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y81/ALUT,board_demo_comp_LUT2;board_demo_comp_LUT2_1,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y81/BLUT,board_demo_comp_LUT4_21,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y81/CLUT,board_demo_comp_LUT4_25,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y81/DLUT,board_demo_comp_LUT4_26,,16倍CIC插值,16倍CIC插值
LUT218,SLICE_X10Y83/ALUT,y_out[12]_i_1__0;y_out[19]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT218,SLICE_X10Y83/BLUT,y_out[13]_i_1__0;y_out[14]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT218,SLICE_X10Y83/CLUT,dac_data_r[0]_i_1,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X10Y83/DLUT,board_demo_comp_LUT5_3,,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X10Y84/BLUT,dac_data_r[2]_i_1,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X10Y84/CLUT,board_demo_comp_LUT5_4,,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X10Y84/DLUT,board_demo_comp_LUT5_8,,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X10Y85/ALUT,board_demo_comp_LUT6_32,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X10Y85/BLUT,board_demo_comp_LUT6_34,,2→4倍桥接量化;FIR1级;FIR2/3级;音频公共封装/DAC,核心—外围接口共享逻辑
LUT218,SLICE_X10Y85/CLUT,dac_data_r[5]_i_1,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
LUT218,SLICE_X10Y85/DLUT,dac_data_r[6]_i_1,2→4倍桥接量化,16倍CIC插值;FIR2/3级;测试音频ROM;音频公共封装/DAC,2→4倍桥接量化
